,Missing State
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,California
5,Colorado
6,Connecticut
7,Delaware
8,Florida
9,Georgia
10,Hawaii
11,Idaho
12,Illinois
13,Indiana
14,Iowa
15,Kansas
16,Kentucky
17,Louisiana
18,Maine
19,Maryland
20,Massachusetts
21,Michigan
22,Minnesota
23,Mississippi
24,Missouri
25,Montana
26,Nebraska
27,Nevada
28,New Hampshire
29,New Jersey
30,New Mexico
31,New York
32,North Carolina
33,North Dakota
34,Ohio
35,Oklahoma
36,Oregon
37,Pennsylvania
38,Rhode Island
39,South Carolina
40,South Dakota
41,Tennessee
42,Texas
43,Utah
44,Vermont
45,Virginia
46,Washington
47,West Virginia
48,Wisconsin
49,Wyoming
50,Alabama
51,Alaska
52,Arkansas
53,California
54,Colorado
55,Connecticut
56,Delaware
57,Florida
58,Georgia
59,Hawaii
60,Idaho
61,Illinois
62,Indiana
63,Iowa
64,Kansas
65,Kentucky
66,Louisiana
67,Maine
68,Maryland
69,Massachusetts
70,Michigan
71,Minnesota
72,Mississippi
73,Missouri
74,Montana
75,Nebraska
76,Nevada
77,New Hampshire
78,New Jersey
79,New Mexico
80,New York
81,North Carolina
82,North Dakota
83,Ohio
84,Oklahoma
85,Oregon
86,Pennsylvania
87,Rhode Island
88,South Carolina
89,South Dakota
90,Tennessee
91,Texas
92,Utah
93,Vermont
94,Virginia
95,Washington
96,West Virginia
97,Wisconsin
98,Wyoming
